Sample ,JL,CC,LD,OW,MH,BO,MO,DT,DP,DL,WS,MD,QE,SC,BIC,NW,ZA
1,28,30,72,29,56,40,44,85,38,28,22,92,84,19,6,6,5
2,31,33,71,30,56,46,44,83,29,27,13,74,68,11,11,5,7
3,28,33,78,27,47,55,41,44,37,27,26,78,71,15,4,5,8
4,30,30,83,34,46,44,44,50,38,23,20,51,75,17,5,12,7
5,31,30,74,29,60,46,43,59,33,24,22,56,73,11,4,5,7
6,36,27,77,36,64,71,37,43,36,26,18,46,73,9,5,5,8
7,34,35,66,27,55,55,36,81,41,31,27,68,70,11,6,4,15
8,31,37,68,39,54,38,36,64,36,25,21,70,83,16,5,4,14
9,29,37,63,37,49,64,44,71,32,29,19,58,71,12,11,4,11
10,27,31,80,39,58,56,41,64,31,25,20,55,86,8,7,5,11
